                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70115,                 2.7059,                 1.2417,                0.00253,                      1,                0.43022,                0.24497,                0.76621,                 3.7825,                 1.6451,                0.00032,                0.00032,                0.00032
                      2,                0.73036,                 2.1817,                 1.2441,                0.00253,                      1,                0.43317,                0.19393,                 1.0658,                 3.8202,                 1.8689,             0.00064693,             0.00064693,             0.00064693
                      3,                 0.9217,                 1.8426,                 1.4334,                0.00253,                      1,                0.41093,                0.22559,                0.95539,                 3.5721,                 1.8152,              0.0009604,              0.0009604,              0.0009604
                      4,                0.91005,                 1.9036,                  1.392,                0.00227,                0.89474,                0.08509,                0.03378,                 1.7616,                 4.1323,                  2.839,              0.0012604,              0.0012604,              0.0012604
                      5,                0.89978,                 1.6789,                 1.3564,                0.21581,                0.05263,                0.22127,                0.06759,                 1.8646,                 3.7636,                 3.4746,              0.0015469,              0.0015469,              0.0015469
                      6,                0.95038,                 1.6339,                  1.426,                0.47298,                0.26316,                0.40135,                0.20365,                 1.4906,                 3.3093,                 3.0414,               0.001802,               0.001802,               0.001802
                      7,                 1.0495,                 1.6675,                 1.4626,                0.41277,                0.44457,                 0.4399,                0.21576,                 1.4766,                 3.1062,                 2.3113,              0.0017624,              0.0017624,              0.0017624
                      8,                0.90318,                 1.3902,                 1.3331,                0.36825,                0.31579,                0.29181,                0.10486,                 2.1552,                 3.3644,                 3.5506,              0.0017228,              0.0017228,              0.0017228
                      9,                0.89264,                 1.3996,                 1.3487,                0.14748,                0.10526,                  0.079,                0.02132,                 2.4927,                 3.5116,                 3.2213,              0.0016832,              0.0016832,              0.0016832
                     10,                0.86939,                 1.3337,                 1.3465,                 0.5888,                 0.3774,                0.47063,                0.25947,                 1.3526,                 2.5966,                 1.9196,              0.0016436,              0.0016436,              0.0016436
                     11,                0.83161,                   1.18,                 1.3167,                0.66544,                0.31424,                 0.3401,                0.17941,                 1.4677,                   2.28,                 2.6519,               0.001604,               0.001604,               0.001604
